index,gdp,nat_re,schl,gini,g
ALB 05,0,0,1,0,1
ARG 75,1,1,1,0,0
ARG 85,1,1,1,1,0
ARG 95,1,0,1,1,1
ARG 05,1,1,1,1,0
ARM 05,0,0,1,0,1
AUS 75,1,1,1,0,0
AUS 85,1,1,1,0,1
AUS 95,1,0,1,0,0
AUS 05,1,1,1,0,1
AUT 85,1,0,1,0,1
AUT 95,1,0,1,0,1
AUT 05,1,0,1,0,0
BDI 95,0,1,0,0,0
BDI 05,0,1,0,0,0
BEL 05,1,0,1,0,0
BGD 75,0,1,0,0,0
BGD 85,0,1,0,0,0
BGD 95,0,0,0,0,1
BGD 05,0,1,0,1,0
BGR 85,1,0,1,0,0
BGR 95,0,0,1,0,0
BGR 05,1,0,1,0,1
BLZ 95,1,0,1,1,1
BOL 85,0,1,0,1,0
BOL 95,0,1,1,1,1
BOL 05,0,1,0,1,0
BRA 85,0,1,0,1,0
BRA 95,1,0,0,1,0
BRA 05,1,1,0,1,1
BRB 05,1,0,1,1,0
BWA 85,0,1,0,1,1
BWA 95,1,0,1,1,0
BWA 05,1,1,1,1,0
CAF 95,0,1,0,1,0
CAF 05,0,1,0,1,0
CAN 75,1,1,1,0,0
CAN 85,1,1,1,0,1
CAN 95,1,0,1,0,0
CAN 05,1,1,1,0,0
CHE 95,1,0,1,0,0
CHE 05,1,0,1,0,0
CHL 85,0,1,1,1,0
CHL 95,1,1,1,1,1
CHL 05,1,1,1,1,1
CHN 75,0,1,0,0,0
CHN 85,0,1,0,0,1
CHN 95,0,1,0,0,1
CHN 05,0,1,0,1,1
CIV 85,0,1,0,1,0
CIV 95,0,1,0,1,0
CIV 05,0,1,0,1,0
CMR 05,0,1,0,1,0
COL 75,0,1,0,1,1
COL 85,0,1,0,1,0
COL 95,1,1,0,1,1
COL 05,0,1,0,1,1
CRI 85,0,0,1,1,0
CRI 95,1,0,1,1,1
CRI 05,1,0,0,1,0
CYP 95,1,0,1,0,1
CYP 05,1,0,1,0,1
CZE 95,1,0,1,0,1
CZE 05,1,0,1,0,1
DEU 75,1,0,1,0,1
DEU 85,1,0,1,0,0
DEU 95,1,0,1,0,1
DEU 05,1,0,1,0,0
DNK 75,1,0,1,0,1
DNK 85,1,0,1,0,1
DNK 95,1,0,1,0,1
DNK 05,1,0,1,0,0
DOM 95,1,0,0,1,1
DOM 05,1,0,0,1,0
DZA 95,0,1,0,0,0
DZA 05,0,1,0,0,1
ECU 95,1,1,0,1,0
ECU 05,0,1,0,1,1
EGY 75,0,1,0,1,0
EGY 85,0,1,0,0,1
EGY 95,0,1,0,0,1
EGY 05,0,1,0,0,0
ESP 75,1,0,1,0,1
ESP 85,1,0,1,0,1
ESP 95,1,0,1,0,0
ESP 05,1,0,1,0,1
EST 05,1,0,1,0,1
FIN 75,1,0,1,0,1
FIN 85,1,0,1,0,1
FIN 95,1,0,1,0,0
FIN 05,1,0,1,0,0
FJI 95,1,0,1,0,0
FJI 05,0,0,1,0,0
FRA 75,1,0,1,0,1
FRA 85,1,0,1,0,1
FRA 95,1,0,1,0,0
FRA 05,1,0,1,0,0
GBR 75,1,0,1,0,1
GBR 85,1,1,1,0,1
GBR 95,1,0,1,0,1
GBR 05,1,0,1,0,0
GHA 95,0,1,0,0,0
GHA 05,0,1,0,1,0
GMB 95,0,0,0,1,1
GRC 75,1,0,1,1,1
GRC 85,1,0,1,0,0
GRC 95,1,0,1,0,1
GRC 05,1,0,1,0,1
GTM 95,0,1,0,1,1
GTM 05,0,0,0,1,0
GUY 95,0,1,1,1,1
GUY 05,0,1,0,0,1
HKG 75,1,0,1,1,1
HKG 85,1,0,1,0,1
HKG 95,1,0,1,1,1
HKG 05,1,0,1,1,0
HND 95,0,1,0,1,0
HND 05,0,1,0,1,1
HRV 05,1,0,1,0,1
HTI 95,0,0,0,1,0
HUN 95,1,0,1,0,1
HUN 05,1,0,1,0,1
IDN 75,0,1,0,1,1
IDN 85,0,1,0,0,0
IDN 95,0,1,0,0,0
IDN 05,0,1,0,0,1
IND 75,0,1,0,1,0
IND 85,0,1,0,1,1
IND 95,0,1,0,1,0
IND 05,0,1,0,1,1
IRL 75,1,0,1,1,1
IRL 85,1,0,1,0,1
IRL 95,1,0,1,0,1
IRL 05,1,0,1,0,0
IRN 75,0,1,0,1,1
IRN 85,1,1,0,1,0
IRN 95,0,1,0,1,1
IRN 05,0,1,0,1,1
ISL 05,1,0,1,0,0
ISR 85,1,0,1,0,1
ISR 95,1,0,1,0,1
ISR 05,1,0,1,0,0
ITA 75,1,0,1,1,1
ITA 85,1,0,1,0,1
ITA 95,1,0,1,0,0
ITA 05,1,0,1,0,0
JAM 75,0,1,0,1,0
JAM 85,0,1,0,1,0
JAM 95,1,1,1,1,1
JAM 05,1,0,1,1,0
JOR 75,0,0,0,1,0
JOR 85,0,0,0,1,0
JOR 95,0,0,1,1,0
JOR 05,0,0,1,1,1
JPN 75,1,0,1,0,1
JPN 85,1,0,1,0,1
JPN 95,1,0,1,0,0
JPN 05,1,0,1,0,0
KAZ 95,0,1,1,0,0
KAZ 05,1,1,1,0,1
KEN 75,0,1,0,1,0
KEN 85,0,1,0,1,0
KEN 95,0,1,0,1,0
KEN 05,0,1,0,1,1
KGZ 05,0,1,1,0,1
KHM 95,0,1,0,1,0
KHM 05,0,1,0,1,1
KOR 75,0,0,1,0,1
KOR 85,1,0,1,0,1
KOR 95,1,0,1,0,1
KOR 05,1,0,1,0,0
LAO 95,0,1,0,0,1
LAO 05,0,1,0,0,1
LKA 85,0,0,1,1,1
LKA 95,0,0,1,0,1
LKA 05,0,0,1,1,1
LSO 95,0,1,0,1,1
LTU 05,1,0,1,0,1
LUX 05,1,0,1,0,0
LVA 05,1,0,1,0,1
MAR 75,0,1,0,1,1
MAR 85,0,0,0,1,0
MAR 95,0,0,0,1,0
MAR 05,0,0,0,1,1
MDA 95,0,0,1,0,0
MDA 05,0,0,1,0,1
MDV 05,1,0,0,1,1
MEX 75,0,1,0,1,0
MEX 85,1,1,0,1,0
MEX 95,1,1,0,1,1
MEX 05,1,1,0,1,0
MLI 95,0,1,0,1,0
MLI 05,0,1,0,0,1
MLT 05,1,0,1,0,0
MNG 95,0,1,1,0,0
