code,gdp,nat_re,schl,gini,g
ALB,0,1,1,0,0
ARG,1,1,1,1,0
ARM,0,0,1,0,1
AUS,1,1,1,0,1
AUT,1,0,1,0,1
BDI,0,1,0,0,0
BEL,1,0,1,0,1
BGD,0,0,0,0,0
BGR,1,0,1,0,0
BOL,0,1,0,1,0
BRA,1,1,0,1,1
BRB,1,0,1,1,0
BWA,1,0,0,1,1
CAF,0,1,0,1,0
CAN,1,1,1,0,1
CHE,1,0,1,0,0
CHL,1,1,1,1,0
CHN,0,1,0,1,1
CIV,0,1,0,1,0
CMR,0,1,0,1,0
COL,0,1,0,1,1
CRI,1,0,0,1,1
CYP,1,0,1,0,1
CZE,1,0,1,0,1
DEU,1,0,1,0,1
DNK,1,0,1,0,1
DOM,0,0,0,1,0
DZA,0,1,0,0,0
ECU,0,1,0,1,1
EGY,0,1,0,0,1
ESP,1,0,1,0,1
EST,1,0,1,0,1
FIN,1,0,1,0,1
FJI,0,0,1,0,0
FRA,1,0,1,0,1
GBR,1,0,1,0,1
GHA,0,1,0,0,0
GMB,0,0,0,1,0
GRC,1,0,1,0,1
GTM,0,0,0,1,0
GUY,0,1,1,1,0
HKG,1,0,1,1,1
HND,0,1,0,1,0
HRV,1,0,1,0,0
HTI,0,0,0,1,0
HUN,1,0,1,0,1
IDN,0,1,0,0,1
IND,0,1,0,1,1
IRL,1,0,1,0,1
IRN,1,1,0,1,1
ISL,1,0,1,0,1
ISR,1,0,1,0,1
ITA,1,0,1,0,1
JAM,1,1,1,1,0
JOR,0,0,0,0,0
JPN,1,0,1,0,1
KAZ,1,1,1,0,1
KEN,0,1,0,1,0
KGZ,0,1,1,0,0
KHM,0,1,0,1,0
KOR,1,0,1,0,1
LAO,0,1,0,0,0
LKA,0,0,1,1,1
LSO,0,1,0,1,1
LTU,1,0,1,0,1
LUX,1,0,1,0,1
LVA,1,0,1,0,1
MAR,0,0,0,1,0
MDA,0,0,1,0,0
MDV,1,0,0,1,1
MEX,1,1,0,1,0
MLI,0,1,0,1,0
MLT,1,0,1,0,1
MNG,0,1,0,0,0
MOZ,0,1,0,1,0
MRT,0,1,0,0,0
MUS,1,0,0,1,1
MWI,0,1,0,1,0
MYS,1,1,1,1,1
NAM,1,1,0,1,0
NER,0,1,0,1,0
NIC,0,1,0,1,0
NLD,1,0,1,0,1
NOR,1,1,1,0,1
NPL,0,1,0,1,0
NZL,1,0,1,0,0
PAK,0,1,0,0,0
PAN,1,0,1,1,1
PER,0,1,1,1,1
PHL,0,0,1,1,0
PNG,0,1,0,1,0
POL,1,0,1,0,1
PRT,1,0,0,0,1
PRY,0,1,0,1,1
ROU,1,1,1,0,1
RUS,1,1,1,0,0
RWA,0,1,0,1,0
SEN,0,0,0,1,0
SGP,1,0,1,1,1
SLE,0,1,0,1,0
SLV,0,0,0,1,1
SVK,1,0,1,0,1
SVN,1,0,1,0,0
SWE,1,0,1,0,1
SWZ,0,0,0,1,1
SYR,0,1,0,0,0
THA,0,0,0,1,1
TJK,0,0,1,0,0
TTO,1,1,1,1,1
TUN,0,1,0,1,1
TUR,1,0,0,1,0
TZA,0,1,0,1,1
UGA,0,1,0,1,0
UKR,0,1,1,0,0
URY,1,0,1,1,0
USA,1,0,1,0,1
VEN,1,1,0,1,0
VNM,0,1,0,0,0
YEM,0,1,0,0,0
ZAF,1,1,1,1,0
ZMB,0,1,0,1,0
ZWE,0,1,0,1,0
