code,gdp,savi,schl,open,PPPI,gini,g,g1
ALB,0,1,1,0,0,0,0,1
ARG,1,0,1,0,1,0,0,1
ARM,0,0,1,1,0,0,1,0
AUS,1,1,1,0,1,0,1,0
AUT,1,1,1,1,1,0,1,0
BDI,0,0,0,0,1,0,0,1
BEL,1,1,1,1,1,1,1,0
BGD,0,1,0,0,0,0,0,1
BGR,1,1,1,1,1,0,0,1
BOL,0,0,0,0,1,1,0,1
BRA,1,0,0,0,0,1,1,0
BRB,1,0,1,1,0,1,0,1
BWA,1,1,0,1,0,1,1,0
CAF,0,0,0,0,1,1,0,1
CAN,1,1,1,0,1,0,1,0
CHE,1,1,1,1,1,0,0,1
CHL,1,0,1,0,0,1,0,1
CHN,0,1,0,0,1,0,1,0
CIV,0,0,0,1,1,0,0,1
CMR,0,0,0,0,1,1,0,1
COL,0,0,0,0,1,1,1,0
CRI,1,0,0,1,0,1,1,0
CYP,1,0,1,1,0,0,1,0
CZE,1,1,1,1,0,0,1,0
DEU,1,1,1,0,1,1,1,0
DNK,1,1,1,1,1,0,1,0
DOM,0,0,0,0,0,1,0,1
DZA,0,1,0,0,0,0,0,1
ECU,0,0,0,0,0,1,1,0
EGY,0,1,0,0,1,0,1,0
ESP,1,1,1,0,0,0,1,0
EST,1,1,1,1,1,0,1,0
FIN,1,1,1,0,1,0,1,0
FJI,0,0,1,1,1,0,0,1
FRA,1,1,1,0,1,1,1,0
GBR,1,0,1,0,1,1,1,0
GHA,0,0,0,0,0,0,0,1
GMB,0,0,0,1,1,1,0,1
GRC,1,1,1,0,0,1,1,0
GTM,0,0,0,0,0,1,0,1
GUY,0,0,1,1,1,0,0,1
HKG,1,1,1,1,0,1,1,0
HND,0,0,0,1,0,1,0,1
HRV,1,0,1,1,0,1,0,1
HTI,0,1,0,0,0,1,0,1
HUN,1,0,1,1,0,1,1,0
IDN,0,1,0,0,0,0,1,0
IND,0,1,0,0,0,1,1,0
IRL,1,1,1,1,0,1,1,0
IRN,1,1,0,0,0,1,1,0
ISL,1,0,1,1,1,0,1,0
ISR,1,0,1,1,1,1,1,0
ITA,1,1,1,0,1,1,1,0
JAM,1,0,1,1,0,1,0,1
JOR,0,1,0,1,0,0,0,1
JPN,1,1,1,0,1,0,1,0
KAZ,1,1,1,1,0,0,1,0
KEN,0,0,0,0,1,1,0,1
KGZ,0,0,1,1,0,0,0,1
KHM,0,0,0,1,1,0,0,1
KOR,1,1,1,0,0,0,1,0
LAO,0,0,0,0,0,0,0,1
LKA,0,0,1,1,0,0,1,0
LSO,0,1,0,1,0,1,1,0
LTU,1,0,1,1,1,1,1,0
LUX,1,1,1,1,1,0,1,0
LVA,1,0,1,1,1,1,1,0
MAR,0,1,0,0,1,1,0,1
MDA,0,0,1,1,0,0,0,1
MDV,1,1,0,1,1,1,1,0
MEX,1,0,0,0,0,1,0,1
MLI,0,0,0,0,0,0,0,1
MLT,1,1,1,1,1,1,1,0
MNG,0,1,0,1,1,0,0,1
MOZ,0,0,0,0,1,1,0,1
MRT,0,0,0,1,1,0,0,1
MUS,1,1,0,1,0,0,1,0
MWI,0,0,0,0,0,1,0,1
MYS,1,1,1,1,0,1,1,0
NAM,1,1,0,1,0,1,0,1
NER,0,0,0,0,0,1,0,1
NIC,0,0,0,1,0,1,0,1
NLD,1,1,1,1,1,1,1,0
NOR,1,1,1,1,1,0,1,0
NPL,0,1,0,0,0,1,0,1
NZL,1,0,1,0,1,0,0,1
PAK,0,1,0,0,0,0,0,1
PAN,1,1,1,1,1,1,1,0
PER,0,1,1,0,0,1,1,0
PHL,0,1,1,0,1,1,0,1
PNG,0,1,0,1,1,1,0,1
POL,1,0,1,0,0,0,1,0
PRT,1,0,0,0,0,1,1,0
PRY,0,0,0,1,1,1,1,0
ROU,1,0,1,1,1,0,1,0
RUS,1,1,1,0,0,0,0,1
RWA,0,0,0,0,1,0,0,1
SEN,0,0,0,0,0,0,0,1
SGP,1,1,1,1,0,0,1,0
SLE,0,0,0,0,1,1,0,1
SLV,0,0,0,0,0,1,1,0
SVK,1,1,1,1,0,0,1,0
SVN,1,1,1,1,1,0,0,1
SWE,1,1,1,0,1,0,1,0
SWZ,0,0,0,1,0,1,1,0
SYR,0,1,0,0,1,0,0,1
THA,0,1,0,1,0,1,1,0
TJK,0,0,1,1,0,0,0,1
TTO,1,1,1,1,0,0,1,0
TUN,0,1,0,1,0,0,1,0
TUR,1,0,0,0,1,1,0,1
TZA,0,0,0,0,1,0,1,0
UGA,0,0,0,0,1,0,0,1
UKR,0,1,1,1,0,0,0,1
URY,1,0,1,0,1,1,0,1
USA,1,0,1,0,1,1,1,0
VEN,1,1,0,0,1,0,0,1
VNM,0,1,0,1,0,0,0,1
YEM,0,1,0,1,0,0,0,1
ZAF,1,0,1,0,1,1,0,1
ZMB,0,0,0,1,1,1,0,1
ZWE,0,0,0,1,1,1,0,1
