code,year,inv,K/PIB,GDP,schl,open,sav,gini,cap_shr_inc,catch-up,growth,10y_schl
AUS,1975,1,1,1,1,0,1,0,0,0,0,1
AUS,1976,1,1,1,1,0,1,0,0,0,0,1
AUS,1977,1,1,1,1,0,1,0,0,0,0,1
AUS,1978,1,1,1,1,0,1,0,0,0,0,1
AUS,1979,1,1,1,1,0,1,1,0,0,0,1
AUS,1980,1,1,1,1,0,1,0,1,0,1,1
AUS,1981,1,1,1,1,0,1,0,0,0,1,1
AUS,1982,1,1,1,1,0,1,0,0,0,0,1
AUS,1983,1,1,1,1,0,1,0,0,0,1,1
AUS,1984,1,1,1,1,0,1,1,0,0,1,1
AUS,1985,1,1,1,1,0,1,1,0,0,0,1
AUS,1986,1,1,1,1,0,1,1,0,0,0,1
AUS,1987,1,1,1,1,0,1,0,0,0,1,0
AUS,1988,1,0,1,1,0,1,0,1,0,1,0
AUS,1989,1,1,1,1,0,1,1,1,0,0,0
AUS,1990,1,1,1,1,0,0,1,0,0,0,0
AUS,1991,1,1,1,1,0,0,0,0,0,0,0
AUS,1992,1,1,1,1,0,0,0,1,0,1,0
AUS,1993,1,1,1,1,0,1,0,1,0,1,0
AUS,1994,1,1,1,1,0,0,0,1,0,1,0
AUS,1995,1,1,1,1,0,0,0,1,0,1,0
AUS,1996,1,1,1,1,0,1,0,0,0,1,0
AUS,1997,1,1,1,1,0,0,0,0,0,0,0
AUS,1998,1,0,1,1,0,0,0,0,0,0,0
AUS,1999,1,0,1,1,0,0,0,0,0,1,0
AUS,2000,1,0,1,1,0,0,1,0,0,0,0
AUS,2001,1,1,1,1,0,1,1,0,0,1,0
AUS,2002,1,1,1,1,0,1,1,1,0,1,0
AUS,2003,1,1,1,1,0,1,0,0,0,1,0
AUS,2004,1,1,1,1,0,0,0,0,0,1,0
AUS,2005,1,1,1,1,0,1,0,0,0,1,0
AUS,2006,1,1,1,1,0,0,0,0,0,0,0
AUS,2007,1,1,1,0,0,1,0,0,0,0,0
AUS,2008,1,1,1,0,0,1,1,0,0,0,0
AUS,2009,1,0,1,0,0,1,1,1,0,1,0
