Benin,1960
Chad,1960
Congo,1960
Gabon,1960
Gabon,1970
Ivory Coast,1960
Kenya,1960
Kenya,1980
Liberia,1970
Madagascar,1960
Malawi,1970
Malawi,1980
Morocco,1960
Niger,1960
Nigeria,1960
Nigeria,1980
Senegal,1960
Senegal,1970
Sierra Leone,1980
Tanzania,1960
Togo,1960
Uganda,1970
Zambia,1960
Zambia,1970
Barbados,1970
El Salvador,1970
Argentina,1960
Argentina,1970
Bolivia,1970
Colombia,1960
Ecuador,1970
Peru,1960
Suriname,1960
Uruguay,1970
Venezuela,1960
Myanmar,1960
Iraq,1960
Israel,1960
Austria,1990
Denmark,1960
Finland,1960
Germany,1990
Greece,1960
Netherlands,1960
Sweden,1960
Switzerland,1980
Fiji,1970
