code,year,gini_DS,quality,GDP_PWT,GDP_PC_PWT,gov_consumption_WB,years_schooling,democracy_index,GDP_MP_WB,GDP_growth_WB,inflation_WB,fertility_WB,dummy_africa,dummy_latin_america,openness
ABW,1960.0,,,,,,,,,,,4.82,0.0,0.0,
ABW,1961.0,,,,,,,,,,,4.655,0.0,0.0,
ABW,1962.0,,,,,,,,,,,4.471,0.0,0.0,
ABW,1963.0,,,,,,,,,,,4.271,0.0,0.0,
ABW,1964.0,,,,,,,,,,,4.059,0.0,0.0,
ABW,1965.0,,,,,,,,,,,3.842,0.0,0.0,
ABW,1966.0,,,,,,,,,,,3.625,0.0,0.0,
ABW,1967.0,,,,,,,,,,,3.417,0.0,0.0,
ABW,1968.0,,,,,,,,,,,3.2260000000000004,0.0,0.0,
ABW,1969.0,,,,,,,,,,,3.054,0.0,0.0,
ABW,1970.0,,,,,,,,,,,2.908,0.0,0.0,
ABW,1971.0,,,,,,,,,,,2.7880000000000003,0.0,0.0,
ABW,1972.0,,,,,,,,,,,2.6910000000000003,0.0,0.0,
ABW,1973.0,,,,,,,,,,,2.613,0.0,0.0,
ABW,1974.0,,,,,,,,,,,2.552,0.0,0.0,
ABW,1975.0,,,,,,,,,,,2.506,0.0,0.0,
ABW,1976.0,,,,,,,,,,,2.472,0.0,0.0,
ABW,1977.0,,,,,,,,,,,2.4459999999999997,0.0,0.0,
ABW,1978.0,,,,,,,,,,,2.425,0.0,0.0,
ABW,1979.0,,,,,,,,,,,2.408,0.0,0.0,
ABW,1980.0,,,,,,,,,,,2.392,0.0,0.0,
ABW,1981.0,,,,,,,,,,,2.377,0.0,0.0,
ABW,1982.0,,,,,,,,,,,2.364,0.0,0.0,
ABW,1983.0,,,,,,,,,,,2.353,0.0,0.0,
ABW,1984.0,,,,,,,,,,,2.342,0.0,0.0,
ABW,1985.0,,,,,,,,,,,2.332,0.0,0.0,
ABW,1986.0,,,,,,,,,,1.07396640826832,2.32,0.0,0.0,
ABW,1987.0,,,,,,,,,,3.64304545817704,2.307,0.0,0.0,
ABW,1988.0,,,,,,,,,,3.12186849610725,2.291,0.0,0.0,
ABW,1989.0,,,,,,,,,,3.99162804604576,2.272,0.0,0.0,
ABW,1990.0,,,,,,,,,,5.83668775158166,2.249,0.0,0.0,
ABW,1991.0,,,,,,,,,,5.5555555555558005,2.221,0.0,0.0,
ABW,1992.0,,,,,,,,,,3.8733753699647897,2.187,0.0,0.0,
ABW,1993.0,,,,,,,,,,5.2155599603571305,2.149,0.0,0.0,
ABW,1994.0,,,,,19.8236035279294,,,1770768140.8077397,,6.3110797127044,2.108,0.0,0.0,1.5598488030239401
ABW,1995.0,,,,,21.0659898477157,,,1792815725.4571397,1.24508591166203,3.3613910732089596,2.064,0.0,0.0,1.7131979695431472
ABW,1996.0,,,,,26.1943319838057,,,1932914086.16855,7.8144317188921795,3.22528797213981,2.021,0.0,0.0,1.7534412955465586
ABW,1997.0,,,,,23.8876732312181,,,2061774158.59611,6.66662183020206,2.99994809778413,1.979,0.0,0.0,1.687819110138585
ABW,1998.0,,,,,22.608520630660895,,,2085576710.1839898,1.15446939174406,1.8694885361554,1.94,0.0,0.0,1.632673599463268
ABW,1999.0,,,,,23.2926153037963,,,2179720936.61732,4.51406203251221,2.28037198258752,1.905,0.0,0.0,1.6459120373823288
ABW,2000.0,,,,,21.4195402984363,,,2171771586.37375,-0.364695778713454,4.04402131190515,1.874,0.0,0.0,1.4507287951620407
ABW,2001.0,,,,,24.5340051843469,,,2124764471.93258,-2.16445940890385,2.88360430316258,1.848,0.0,0.0,1.390219563781722
ABW,2002.0,,,,,25.1562787806226,,,2134650785.68604,0.465289865491144,3.31577499115529,1.825,0.0,0.0,1.343349949346105
ABW,2003.0,,,,,24.720504791149,,,2295165261.7818103,7.519472373284941,3.65737658137544,1.805,0.0,0.0,1.3396008435296691
ABW,2004.0,,,,,23.1593884601692,,,2322172253.00181,1.17669048367502,2.52993805918791,1.786,0.0,0.0,1.3365324347769398
ABW,2005.0,,,,,23.120191731575797,,,2331005586.5921803,0.38039097138251093,3.3956252461246197,1.77,0.0,0.0,1.464810065907729
ABW,2006.0,,,,,22.7683391626139,,,2385903552.37897,2.35511944298051,3.6087114588923197,1.754,0.0,0.0,1.4346489973329892
ABW,2007.0,,,,,21.854499230273,,,2298707695.0465302,-3.65462624193272,5.39120264004318,1.7409999999999999,0.0,0.0,1.423633069092318
ABW,2008.0,,,,,21.6369424584952,,,2140526674.9911802,-6.88130206359888,8.95773218758906,1.7280000000000002,0.0,0.0,1.4118728752343623
ABW,2009.0,,,,,25.3782061170242,,,2019511954.7664,-5.65350208612952,-2.13637157324915,1.716,0.0,0.0,1.4006290953233667
ABW,2010.0,,,,,26.3137877247752,,,,,2.07773902027786,1.704,0.0,0.0,1.363187909055305
ABW,2011.0,,,,,25.6271359369157,,,,,4.374595794515,1.692,0.0,0.0,1.572084155644277
ABW,2012.0,,,,,,,,,,0.571755528109421,1.68,0.0,0.0,
ABW,2013.0,,,,,,,,,,-2.37226328015075,1.669,0.0,0.0,
ABW,2014.0,,,,,,,,,,0.420998172169391,,0.0,0.0,
AFG,1919.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1920.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1921.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1922.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1923.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1924.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1925.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1926.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1927.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1928.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1929.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1930.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1931.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1932.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1933.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1934.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1935.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1936.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1937.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1938.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1939.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1940.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1941.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1942.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1943.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1944.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1945.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1946.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1947.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1948.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1949.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1950.0,,,,,,0.27,0.0,,,,,0.0,0.0,
AFG,1951.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1952.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1953.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1954.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1955.0,,,,,,0.31,0.0,,,,,0.0,0.0,
AFG,1956.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1957.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1958.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1959.0,,,,,,,0.0,,,,,0.0,0.0,
AFG,1960.0,,,,,,0.37,0.0,,,,7.45,0.0,0.0,0.11157026729868051
AFG,1961.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.1255060974846332
AFG,1962.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.142276445819287
AFG,1963.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.2603551155883805
AFG,1964.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.2694444788938253
AFG,1965.0,,,,,,0.42,0.0,,,,7.45,0.0,0.0,0.326710826008606
AFG,1966.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.27142857398276665
AFG,1967.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.2098273533368256
AFG,1968.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.2411003300593837
AFG,1969.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.250788641495089
AFG,1970.0,,,,,,0.69,0.0,,,,7.45,0.0,0.0,0.2172811013018636
AFG,1971.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.270631374780263
AFG,1972.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.32869080994467703
AFG,1973.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.276923087829586
AFG,1974.0,,,,,,,0.0,,,,7.45,0.0,0.0,0.288659801432671
AFG,1975.0,,,,,,0.92,0.0,,,,7.45,0.0,0.0,0.269483576308828
