"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","ANT","Netherlands Antilles","2010","Export","6","18972.580"
"H0","ABW"," Total","Aruba","ANT","Netherlands Antilles","2010","Import","5","58494.363"
"H0","ABW"," Total","Aruba","ARG","Argentina","2010","Export","6","3.131"
"H0","ABW"," Total","Aruba","ARG","Argentina","2010","Import","5","3808.179"
"H0","ABW"," Total","Aruba","BEL","Belgium","2010","Export","6","279.450"
"H0","ABW"," Total","Aruba","BEL","Belgium","2010","Import","5","1609.749"
"H0","ABW"," Total","Aruba","BHS","Bahamas, The","2010","Export","6",".426"
"H0","ABW"," Total","Aruba","BHS","Bahamas, The","2010","Import","5","2522.893"
"H0","ABW"," Total","Aruba","BRA","Brazil","2010","Export","6","7.872"
"H0","ABW"," Total","Aruba","BRA","Brazil","2010","Import","5","16329.922"
"H0","ABW"," Total","Aruba","CAN","Canada","2010","Export","6","13.018"
"H0","ABW"," Total","Aruba","CAN","Canada","2010","Import","5","5317.824"
"H0","ABW"," Total","Aruba","CHE","Switzerland","2010","Export","6","231.134"
"H0","ABW"," Total","Aruba","CHE","Switzerland","2010","Import","5","14135.953"
"H0","ABW"," Total","Aruba","CHL","Chile","2010","Export","6","221.226"
"H0","ABW"," Total","Aruba","CHL","Chile","2010","Import","5","2549.831"
"H0","ABW"," Total","Aruba","CHN","China","2010","Export","6","157.493"
"H0","ABW"," Total","Aruba","CHN","China","2010","Import","5","14917.143"
"H0","ABW"," Total","Aruba","COL","Colombia","2010","Export","6","33811.160"
"H0","ABW"," Total","Aruba","COL","Colombia","2010","Import","5","37006.784"
"H0","ABW"," Total","Aruba","CRI","Costa Rica","2010","Export","6","18.089"
"H0","ABW"," Total","Aruba","CRI","Costa Rica","2010","Import","5","7203.519"
"H0","ABW"," Total","Aruba","DEU","Germany","2010","Export","6","25.939"
"H0","ABW"," Total","Aruba","DEU","Germany","2010","Import","5","4781.112"
