;ABW;AFG;AGO;AIA;ALB;AND;ANT;ARB;ARE;ARG;ARM;ASM;ATG;AUS;AUT;AZE;BDI;BEL;BEN;BFA;BGD;BGR;BHR;BHS;BIH
ABW;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02638379440450371;0.0;0.0;0.0;0.0;0.02671248813092353;0.0;0.0;0.011550176176783165;0.0;0.0;0.0;0.04144889542802304;0.0;0.0;0.0
AFG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07459262383979655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AGO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011625218393826384;0.0;0.0;0.0;0.012577085682875137;0.008609433038517461;0.019689492830161213;0.0;0.0032595569196920814;0.013204646147983138;0.0;0.0;0.012903474689727553;0.0;0.0;0.0
AIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014193198232681895;0.0;0.0;0.0;0.018484437322155205;0.006394210909822392;0.0;0.0;0.0079547985697529;0.0;0.0;0.0;0.005969293181559074;0.0;0.0;0.0072734210032743005
AND;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARG;0.014139715241337614;0.0;0.011822637665025853;0.0;0.009925472778602439;0.0;0.0;0.0;0.0;0.0;0.016352394228860662;0.0;0.0;0.005160113676173503;0.0060044399032461995;0.010790056294271355;0.0;0.0033099833658827823;0.012724604094326672;0.0;0.0;0.0069269729641586505;0.010903138144176393;0.004839635381670943;0.008557782552285358
ARM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022887554472465953;0.0;0.0;0.0;0.014798160249128165;0.00961970037729126;0.0;0.0;0.005461182530554816;0.0;0.0;0.0;0.00796650580513585;0.0;0.0;0.0
