"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36015.070459561","","","","",
"Andorra","AND","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1088.03192881436","1126.42035791202","1090.23547033207","1167.35968469481","1193.85279914084","1321.47759508689","1335.59144856962","1576.02987047289","1662.80352555541","1712.58871978343","1899.2995585028","1876.19087871942","1844.02150309871","",
"Angola","AGO","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6949.02184841534","","","","",
"Albania","ALB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4303.37389077396","3048.36928045986","2846.09416726242","3138.41041119623","3419.82782528591","3898.67294545075","4279.97019452896","3840.05511177189","4212.42702189073","4811.53174284413","5165.11382395718","5627.80925075028","5883.55973676931","6246.57434167169","6630.88074025157","7046.19107527146","7475.8883540292","7977.0224058953","8643.76569111848","8993.73633574959","9373.82610542179","9640.13081161935","9791.48484938819","9910.84148285703","10136.0204929876","",
"Arab World","ARB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10073.4463281701","9574.28412931896","9890.81369848741","10006.507748238","10066.5796776624","10037.1597181963","10296.1798798062","10561.1882043421","10938.6462625603","11084.9401692542","11362.4186030082","11404.8936760158","11325.3334950994","11462.4167334506","12287.0461698456","12736.4084373604","13309.062441227","13720.0137260229","14240.9123084272","14182.72135972","14507.1595083091","14579.1470140092","15179.2941585432","15273.5577715624","15240.5404993172","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114518.825374059","109361.980947922","107096.2780808","102899.45542739","104569.297181793","106250.397946215","107057.25127904","110135.560679723","104859.07942846","102274.924100834","107206.460666495","103039.855166489","100068.035330617","101915.992401122","101831.727740389","94720.4348484726","90171.0616146019","80056.2863675021","71955.5754636291","61057.3083072123","57406.7377496175","57594.1266833257","60066.5382292292","62056.1514143845","64562.6200718639","",
"Argentina","ARG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3735.54309173336","3329.27530444979","1972.69764848653","1841.7190676796","1988.21520736432","2169.43102785618","2332.68056367768","2437.62935646148","2636.32474553976","2740.16961493054","2918.55768574024","3214.25718572495","3653.36514796389","4181.18532729791","4634.79778023027","5296.81412795942","6021.36400655323","6881.44465235369","7388.62663569694","6362.21471000965","6507.9144023801","6803.48299708481","7267.97652826463","7473.06067839472","7698.69458138754","",
"American Samoa","ASM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
