"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1770768140.80774","1792815725.45714","1932914086.16855","2061774158.59611","2085576710.18399","2179720936.61732","2171771586.37375","2124764471.93258","2134650785.68604","2295165261.78181","2322172253.00181","2331005586.59218","2385903552.37897","2298707695.04653","2140526674.99118","2019511954.7664","","","","","","",
"Andorra","AND","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","864758154.684956","904964856.143295","978717190.675843","1054944240.57045","1114219297.59081","1120260630.77432","1157271705.78659","1190121723.09134","1207533244.52351","1208034932.53542","1234717140.08524","1233081526.29125","1248451415.65455","1270550451.50758","1293225807.47565","1323247215.03895","1366296703.57998","1442086856.71832","1515551436.89973","1588707563.63271","1648782847.82628","1690760869.69902","1706471679.78665","1688869565.8099","1729118625.54515","1776798967.50458","1859415534.61932","2028021272.93495","2092812252.48533","2178598324.98892","2203996142.44641","2337707752.77099","2487948609.83232","2787097553.84125","3012002510.53562","3248134606.77511","3397071666.98604","3399722720.58186","3107541846.40675","2988896333.02016","2829050839.16086","2693180720.71729","2645780461.88933","2644100012.61548","","",
"Afghanistan","AFG","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150441046.5817","5585352695.45476","5644309209.08199","6275076016.47174","6623602374.34777","7533698918.29582","7805768539.79931","9446591725.72443","10243250246.5673","10869490317.7585","12438473124.446","12682158099.7345","12848615344.5738","",
"Angola","AGO","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36970918699.2523","","","","","","","","","","",
"Albania","ALB","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4790406074.82641","5065645335.65105","5215010792.03539","5272633441.85273","5206641338.6471","5299353083.0541","5598090504.13936","5553986359.63446","5475117549.60768","6013680169.77748","5437831794.69754","3828831871.02596","3553155976.82864","3894258951.02804","4217482443.83588","4778407608.28989","5213242700.64427","4648238977.66534","5066991972.84884","5751095344.03145","6134499046.05466","6621598601.34072","6901783005.08698","7300256796.02552","7717069088.36852","8158548716.52941","8601640536.23203","9109137327.86972","9795055368.65831","10123189723.5084","10498760062.2505","10766478443.8379","10919362437.7404","11040567360.7993","11280147672.5287","",
"Arab World","ARB","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","373840492534.117","420948974733.476","455883523391.354","463517576238.453","511185668544.036","560188264786.512","583719067138.058","562467627236.367","546400271036.078","553903135637.121","549972137417.883","552245658023.327","552921414516.196","577017932536.155","587988160525.693","645236864358.849","654252328436.929","686282634166.712","711085021033.834","736208857002.498","756352830783.83","792610773624.016","826300622646.548","865263047918.745","884502403209.393","928429254236.266","950299839488.688","967273028019.771","1017671935028.85","1110626415135.62","1179756448333.09","1265029586794.36","1337623185203.49","1422394770774.83","1443520295399.05","1511352592727.59","1563786214257.34","1667152521255.29","1714337000989.79","1752423571465.68","",
"United Arab Emirates","ARE","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","39866239715.0811","46454875939.7665","56414490168.9671","55517723571.4796","67134015033.3411","83162109999.2168","87036779626.4886","81188503203.7415","77335442417.1744","80441969465.8402","77550501755.6515","65950391806.5046","68180821997.9488","66395229187.4241","74587000391.0457","88257295016.6274","89016380075.8847","91993928916.9386","93154148025.0168","99578196448.7179","106237873177.347","112397974319.77","121603816493.56","121958892759.661","125498400392.464","139118370567.532","141064754861.087","144497504750.342","157214066635.484","172253850713.367","180617018379.85","198384892041.719","204702241050.959","211236001427.547","200161062835.542","203434595046.509","214029059671.622","228783357561.913","238669910645.758","249577817039.639","",
"Argentina","ARG","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","76252551174.9016","80391419844.2952","79706467644.1891","75475491458.171","83121383404.3138","91906842614.8037","91300509120.5882","94214818288.8375","98758328637.1869","108317666742.757","111616636523.209","117932052128.329","119852477143.145","123222434012.405","130041322481.203","130004375007.02","127380559736.696","136213315960.468","130075373945.698","143372671750.215","149325164345.298","140829267308.536","133848109120.996","139034888550.137","142110025376.088","131328596504.511","141671747619.581","145794385743.27","142066561983.887","131416983162.495","128264343329.717","144515063774.087","161771281997.576","171326981401.077","181325967885.34","176166864012.265","185903060156.588","200981744320.132","208719900963.477","201653778352.365","200062732200.859","191242287046.772","170407425131.324","185466398774.948","202213223238.631","220813784300.124","239368476370.679","258435547688.555","266382299940.803","266515556238.254","291705482801.656","316169221510.25","318704140427.3","327899876344.237","329387248149.091","",
"Armenia","ARM","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4063312472.83982","3587904975.2087","2088160596.95569","1904402489.64041","2007240277.21643","2145739824.37304","2271596064.08638","2347037579.74186","2518371323.06301","2601477576.72409","2754964753.75081","3018246858.59511","3416241960.16913","3895909492.41235","4303727137.24252","4900469515.07252","5547233653.94661","6309934012.14436","6745319459.08848","5790857521.88988","5918256387.32198","6196414437.44435","6642556277.14373","6861760634.28947","7101922256.48959","",
"American Samoa","ASM","GDP at market prices (constant 2005 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
