code,year,D1_WB,D9_WB,QU1_WB,QU2_WB,QU3_WB,QU4_WB,QU5_WB,GDP_MP_WB,GDP_growth_WB,GDP_PC_WB,gov_consumption_WB,inflation_WB,fertility_WB,savings_WB,investments_WB,GNI_PC_WB,nat_ress_WB,gini_DS,Q1_DS,Q2_DS,Q3_DS,Q4_DS,GDP_OECD,GDP_CAP_OECD,gini_post_taxe_OECD,gini_before_taxe_OECD,P90/P10_OECD,P90/P50_OECD,P50/P10_OECD,S80/S20_OECD,S90/S10_OECD,D1_WID,V1_WID,P1_WID,top_0.5_income_share_WID,Pr1_WID,top_0.05_income_share_WID,top_0.01_income_share_WID,national_income_WID,K_over_PIB,GDP_PWT,GDP_PC_PWT,years_schooling,yrs_sec_schlg_F_25,yrs_sec_schlg_M_25,democracy_index,dummy_africa,dummy_south_america,openness_WB,gini_WIID,D1_WIID,D2_WIID,D3_WIID,D4_WIID,D5_WIID,D6_WIID,D7_WIID,D8_WIID,D9_WIID,Q1_WIID,Q2_WIID,Q3_WIID,Q4_WIID,Q5_WIID,P5_WIID,P95_WIID,price_level_investment_PWT,savings_IMF,invest_IMF,savings_OECD,gini_net_SWIID,gini_market_SWIID,rel_red_SWIID,abs_red_SWIID,cap_share_income
ABW,1960.0,,,,,,,,,,,,,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1961.0,,,,,,,,,,,,,4.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1962.0,,,,,,,,,,,,,4.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1963.0,,,,,,,,,,,,,4.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1964.0,,,,,,,,,,,,,4.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1965.0,,,,,,,,,,,,,3.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1966.0,,,,,,,,,,,,,3.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1967.0,,,,,,,,,,,,,3.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1968.0,,,,,,,,,,,,,3.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1969.0,,,,,,,,,,,,,3.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1970.0,,,,,,,,,,,,,2.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1971.0,,,,,,,,,,,,,2.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1972.0,,,,,,,,,,,,,2.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1973.0,,,,,,,,,,,,,2.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1974.0,,,,,,,,,,,,,2.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1975.0,,,,,,,,,,,,,2.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1976.0,,,,,,,,,,,,,2.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1977.0,,,,,,,,,,,,,2.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1978.0,,,,,,,,,,,,,2.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1979.0,,,,,,,,,,,,,2.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1980.0,,,,,,,,,,,,,2.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1981.0,,,,,,,,,,,,,2.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1982.0,,,,,,,,,,,,,2.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1983.0,,,,,,,,,,,,,2.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1984.0,,,,,,,,,,,,,2.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1985.0,,,,,,,,,,,,,2.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1986.0,,,,,,,,,,,,1.07396640827,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1987.0,,,,,,,,,,,,3.64304545818,2.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1988.0,,,,,,,,,,,,3.12186849611,2.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1989.0,,,,,,,,,,,,3.99162804605,2.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1990.0,,,,,,,,,,,,5.83668775158,2.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1991.0,,,,,,,,,,,,5.55555555556,2.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1992.0,,,,,,,,,,,,3.87337536996,2.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1993.0,,,,,,,,,,,,5.21555996036,2.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1994.0,,,,,,,,1770768140.81,,17342.4719396,19.8236035279,6.3110797127,2.108,,28.0974380512,,0.00178348645916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.55984880302,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1995.0,,,,,,,,1792815725.46,1.24508591166,16441.3812596,21.0659898477,3.36139107321,2.064,,27.4111675127,,0.00217523113593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.71319796954,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1996.0,,,,,,,,1932914086.17,7.81443171889,16586.1922971,26.1943319838,3.22528797214,2.021,,31.3360323887,,0.00168450178878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.75344129555,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1997.0,,,,,,,,2061774158.6,6.6666218302,17927.4120264,23.8876732312,2.99994809778,1.979,,31.0722100656,,0.00171250336941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.68781911014,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1998.0,,,,,,,,2085576710.18,1.15446939174,19081.5702884,22.6085206307,1.86948853616,1.94,,30.1616907078,,0.00167283519697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.63267359946,,,,,,,,,,,,,,,,,,,,,,,,,,
