year,Comp,Part,democracy_index,SSno,code
1919,0.00,0.00,0.00,700,AFG
1920,0.00,0.00,0.00,700,AFG
1921,0.00,0.00,0.00,700,AFG
1922,0.00,0.00,0.00,700,AFG
1923,0.00,0.00,0.00,700,AFG
1924,0.00,0.00,0.00,700,AFG
1925,0.00,0.00,0.00,700,AFG
1926,0.00,0.00,0.00,700,AFG
1927,0.00,0.00,0.00,700,AFG
1928,0.00,0.00,0.00,700,AFG
1929,0.00,0.00,0.00,700,AFG
1930,0.00,0.00,0.00,700,AFG
1931,0.00,0.00,0.00,700,AFG
1932,0.00,0.00,0.00,700,AFG
1933,0.00,0.00,0.00,700,AFG
1934,0.00,0.00,0.00,700,AFG
1935,0.00,0.00,0.00,700,AFG
1936,0.00,0.00,0.00,700,AFG
1937,0.00,0.00,0.00,700,AFG
1938,0.00,0.00,0.00,700,AFG
1939,0.00,0.00,0.00,700,AFG
1940,0.00,0.00,0.00,700,AFG
1941,0.00,0.00,0.00,700,AFG
1942,0.00,0.00,0.00,700,AFG
1943,0.00,0.00,0.00,700,AFG
1944,0.00,0.00,0.00,700,AFG
1945,0.00,0.00,0.00,700,AFG
1946,0.00,0.00,0.00,700,AFG
1947,0.00,0.00,0.00,700,AFG
1948,0.00,0.00,0.00,700,AFG
1949,0.00,0.00,0.00,700,AFG
1950,0.00,0.00,0.00,700,AFG
1951,0.00,0.00,0.00,700,AFG
1952,0.00,0.00,0.00,700,AFG
1953,0.00,0.00,0.00,700,AFG
1954,0.00,0.00,0.00,700,AFG
1955,0.00,0.00,0.00,700,AFG
1956,0.00,0.00,0.00,700,AFG
1957,0.00,0.00,0.00,700,AFG
1958,0.00,0.00,0.00,700,AFG
1959,0.00,0.00,0.00,700,AFG
1960,0.00,0.00,0.00,700,AFG
1961,0.00,0.00,0.00,700,AFG
1962,0.00,0.00,0.00,700,AFG
1963,0.00,0.00,0.00,700,AFG
1964,0.00,0.00,0.00,700,AFG
1965,0.00,1.00,0.00,700,AFG
1966,0.00,1.00,0.00,700,AFG
1967,0.00,1.00,0.00,700,AFG
1968,0.00,1.00,0.00,700,AFG
1969,0.00,4.54,0.00,700,AFG
1970,0.00,4.54,0.00,700,AFG
1971,0.00,4.54,0.00,700,AFG
1972,0.00,4.54,0.00,700,AFG
1973,0.00,0.00,0.00,700,AFG
1974,0.00,0.00,0.00,700,AFG
1975,0.00,0.00,0.00,700,AFG
1976,0.00,0.00,0.00,700,AFG
1977,0.00,0.00,0.00,700,AFG
1978,0.00,0.00,0.00,700,AFG
1979,0.00,0.00,0.00,700,AFG
1980,0.00,0.00,0.00,700,AFG
1981,0.00,0.00,0.00,700,AFG
1982,0.00,0.00,0.00,700,AFG
1983,0.00,0.00,0.00,700,AFG
1984,0.00,0.00,0.00,700,AFG
1985,0.00,0.00,0.00,700,AFG
1986,0.00,0.00,0.00,700,AFG
1987,0.00,0.00,0.00,700,AFG
1988,0.00,0.00,0.00,700,AFG
1989,0.00,0.00,0.00,700,AFG
1990,0.00,0.00,0.00,700,AFG
1991,0.00,0.00,0.00,700,AFG
1992,0.00,0.00,0.00,700,AFG
1993,0.00,0.00,0.00,700,AFG
1994,0.00,0.00,0.00,700,AFG
1995,0.00,0.00,0.00,700,AFG
1996,0.00,0.00,0.00,700,AFG
1997,0.00,0.00,0.00,700,AFG
1998,0.00,0.00,0.00,700,AFG
1999,0.00,0.00,0.00,700,AFG
2000,0.00,0.00,0.00,700,AFG
1914,0.00,0.00,0.00,339,ALB
1915,0.00,0.00,0.00,339,ALB
1916,0.00,0.00,0.00,339,ALB
1917,0.00,0.00,0.00,339,ALB
1918,0.00,0.00,0.00,339,ALB
1919,0.00,0.00,0.00,339,ALB
1920,0.00,0.00,0.00,339,ALB
1921,62.00,0.00,0.00,339,ALB
1922,62.00,0.00,0.00,339,ALB
1923,58.00,0.00,0.00,339,ALB
1924,0.00,0.00,0.00,339,ALB
1925,0.00,0.00,0.00,339,ALB
1926,0.00,0.00,0.00,339,ALB
1927,0.00,0.00,0.00,339,ALB
1928,0.00,0.00,0.00,339,ALB
1929,0.00,0.00,0.00,339,ALB
1930,0.00,0.00,0.00,339,ALB
1931,0.00,0.00,0.00,339,ALB
1932,0.00,0.00,0.00,339,ALB
1933,0.00,0.00,0.00,339,ALB
1934,0.00,0.00,0.00,339,ALB
1935,0.00,0.00,0.00,339,ALB
1936,0.00,0.00,0.00,339,ALB
1937,0.00,0.00,0.00,339,ALB
1938,0.00,0.00,0.00,339,ALB
1944,0.00,0.00,0.00,339,ALB
1945,6.80,48.86,3.32,339,ALB
1946,6.80,48.86,3.32,339,ALB
1947,6.80,48.86,3.32,339,ALB
1948,6.80,48.86,3.32,339,ALB
1949,6.80,48.86,3.32,339,ALB
1950,1.80,52.26,0.94,339,ALB
1951,1.80,52.26,0.94,339,ALB
1952,1.80,52.26,0.94,339,ALB
1953,1.80,52.26,0.94,339,ALB
1954,0.10,52.38,0.05,339,ALB
1955,0.10,52.38,0.05,339,ALB
1956,0.10,52.38,0.05,339,ALB
1957,0.10,52.38,0.05,339,ALB
1958,0.00,52.19,0.00,339,ALB
1959,0.00,52.19,0.00,339,ALB
1960,0.00,52.19,0.00,339,ALB
1961,0.00,52.19,0.00,339,ALB
1962,0.00,52.04,0.00,339,ALB
1963,0.00,52.04,0.00,339,ALB
1964,0.00,52.04,0.00,339,ALB
1965,0.00,52.04,0.00,339,ALB
1966,0.00,51.21,0.00,339,ALB
1967,0.00,51.21,0.00,339,ALB
1968,0.00,51.21,0.00,339,ALB
1969,0.00,51.21,0.00,339,ALB
1970,0.00,50.56,0.00,339,ALB
1971,0.00,50.56,0.00,339,ALB
1972,0.00,50.56,0.00,339,ALB
1973,0.00,50.56,0.00,339,ALB
1974,0.00,52.68,0.00,339,ALB
1975,0.00,52.68,0.00,339,ALB
1976,0.00,52.68,0.00,339,ALB
1977,0.00,52.68,0.00,339,ALB
1978,0.00,55.03,0.00,339,ALB
1979,0.00,55.03,0.00,339,ALB
1980,0.00,55.03,0.00,339,ALB
1981,0.00,55.03,0.00,339,ALB
1982,0.00,58.50,0.00,339,ALB
1983,0.00,58.50,0.00,339,ALB
1984,0.00,58.50,0.00,339,ALB
1985,0.00,58.50,0.00,339,ALB
1986,0.00,58.50,0.00,339,ALB
1987,0.00,59.51,0.00,339,ALB
1988,0.00,59.51,0.00,339,ALB
1989,0.00,59.51,0.00,339,ALB
1990,0.00,59.51,0.00,339,ALB
1991,43.80,60.33,26.42,339,ALB
1992,37.70,54.42,20.51,339,ALB
1993,37.70,54.42,20.51,339,ALB
1994,37.70,54.42,20.51,339,ALB
1995,37.70,54.42,20.51,339,ALB
1996,44.50,50.73,22.58,339,ALB
1997,34.80,34.46,11.99,339,ALB
1998,34.80,34.46,11.99,339,ALB
1999,34.80,34.46,11.99,339,ALB
2000,34.80,34.46,11.99,339,ALB
1962,0.00,48.57,0.00,615,ALG
1963,0.40,51.99,0.21,615,ALG
1964,0.40,51.99,0.21,615,ALG
1965,0.00,0.00,0.00,615,ALG
1966,0.00,0.00,0.00,615,ALG
1967,0.00,0.00,0.00,615,ALG
1968,0.00,0.00,0.00,615,ALG
1969,0.00,0.00,0.00,615,ALG
1970,0.00,0.00,0.00,615,ALG
1971,0.00,0.00,0.00,615,ALG
1972,0.00,0.00,0.00,615,ALG
1973,0.00,0.00,0.00,615,ALG
1974,0.00,0.00,0.00,615,ALG
1975,0.00,0.00,0.00,615,ALG
1976,0.70,43.44,0.30,615,ALG
1977,0.70,43.44,0.30,615,ALG
1978,0.70,43.44,0.30,615,ALG
1979,0.70,41.37,0.29,615,ALG
1980,0.70,41.37,0.29,615,ALG
1981,0.70,41.37,0.29,615,ALG
1982,0.70,41.37,0.29,615,ALG
1983,0.70,41.37,0.29,615,ALG
1984,4.60,43.46,2.00,615,ALG
1985,4.60,43.46,2.00,615,ALG
1986,4.60,43.46,2.00,615,ALG
1987,4.60,43.46,2.00,615,ALG
1988,6.70,47.93,3.21,615,ALG
1989,6.70,47.93,3.21,615,ALG
1990,6.70,47.93,3.21,615,ALG
1991,6.70,47.93,3.21,615,ALG
1992,0.00,0.00,0.00,615,ALG
1993,0.00,0.00,0.00,615,ALG
1994,0.00,0.00,0.00,615,ALG
1995,38.70,40.70,15.75,615,ALG
1996,38.70,40.70,15.75,615,ALG
1997,52.50,37.96,19.93,615,ALG
1998,52.50,37.96,19.93,615,ALG
1999,46.25,33.82,15.64,615,ALG
2000,46.25,33.82,15.64,615,ALG
1975,0.00,0.00,0.00,540,ANG
1976,0.00,0.00,0.00,540,ANG
1977,0.00,0.00,0.00,540,ANG
1978,0.00,0.00,0.00,540,ANG
1979,0.00,0.00,0.00,540,ANG
1980,0.00,0.00,0.00,540,ANG
1981,0.00,0.00,0.00,540,ANG
1982,0.00,0.00,0.00,540,ANG
1983,0.00,0.00,0.00,540,ANG
1984,0.00,0.00,0.00,540,ANG
1985,0.00,0.00,0.00,540,ANG
1986,0.00,0.00,0.00,540,ANG
1987,0.00,0.00,0.00,540,ANG
1988,0.00,0.00,0.00,540,ANG
1989,0.00,0.00,0.00,540,ANG
1990,0.00,0.00,0.00,540,ANG
1991,0.00,0.00,0.00,540,ANG
1992,0.00,0.00,0.00,540,ANG
1993,0.00,0.00,0.00,540,ANG
1994,0.00,0.00,0.00,540,ANG
1995,0.00,0.00,0.00,540,ANG
1996,0.00,0.00,0.00,540,ANG
1997,0.00,0.00,0.00,540,ANG
1998,0.00,0.00,0.00,540,ANG
1999,0.00,0.00,0.00,540,ANG
2000,0.00,0.00,0.00,540,ANG
1981,42.00,29.71,12.48,58,AAB
1982,42.00,29.71,12.48,58,AAB
1983,42.00,29.71,12.48,58,AAB
1984,32.50,24.33,7.91,58,AAB
1985,32.50,24.33,7.91,58,AAB
1986,32.50,24.33,7.91,58,AAB
1987,32.50,24.33,7.91,58,AAB
1988,32.50,24.33,7.91,58,AAB
1989,34.00,31.75,10.79,58,AAB
1990,34.00,31.75,10.79,58,AAB
1991,34.00,31.75,10.79,58,AAB
1992,34.00,31.75,10.79,58,AAB
1993,34.00,31.75,10.79,58,AAB
1994,45.60,41.08,18.73,58,AAB
1995,45.60,41.08,18.73,58,AAB
1996,45.60,41.08,18.73,58,AAB
1997,45.60,41.08,18.73,58,AAB
1998,45.60,41.08,18.73,58,AAB
1999,47.40,51.51,24.41,58,AAB
2000,47.40,51.51,24.41,58,AAB
1816,0.00,0.00,0.00,160,ARG
1817,0.00,0.00,0.00,160,ARG
1818,0.00,0.00,0.00,160,ARG
1819,0.00,0.00,0.00,160,ARG
1820,0.00,0.00,0.00,160,ARG
1821,0.00,0.00,0.00,160,ARG
1822,0.00,0.00,0.00,160,ARG
1823,0.00,0.00,0.00,160,ARG
1824,0.00,0.00,0.00,160,ARG
1825,0.00,0.00,0.00,160,ARG
1826,0.00,0.00,0.00,160,ARG
1827,0.00,0.00,0.00,160,ARG
