"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.84","","","","","","","","9.62","","","","","","","",
"Albania","ALB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","","","","","12.41","","","12.9","","","13.07","","","","13.17","","","",
"Arab World","ARB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","9.17","","","","9.07","9.2","9.32","9.03","8.43","8.2","8.21","7.79","7.98","7.58","7.09","6.95","7.06","7.75","8.06","8.31","8.51","8.83","9.18","9.3","9.54","9.75","9.8","","",
"Armenia","ARM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.38","","","11.59","","11.87","12.03","12.44","11.48","11.82","12.61","13.15","12.76","13.11","12.79","12.83","12.89","12.63","","",
"American Samoa","ASM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","12.91","","","","12.6","","","","12.37","","","","","","12.55","","","","","","12.17","","12.15","","","","","11.61","","11.83","","","","","",
"Austria","AUT","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.25","13.44","13.33","13.15","13.3","13.03","13.21","13.07","13.29","","","",
"Azerbaijan","AZE","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.04","","","","","","11.53","16.28","15.89","16.58","16.4","","","","","","","","","","",
"Burundi","BDI","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.09","","","","","","10.35","","","","","","","","11.93","","","","","","","","","",
"Belgium","BEL","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4","13.7","13.92","13.66","13.92","13.94","13.95","13.98","14.16","","","",
"Benin","BEN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.91","","","","","","","","9.63","","","","",
"Burkina Faso","BFA","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.67","","","","8.71","","","","","9.65","","","","","","10.69","","","","","","",
"Bangladesh","BGD","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","14.29","","13.82","","","13.36","","","13.65","","","","12.46","","","","","12.2","","","","","12.29","","","","","12.5","","","","","",
"Bulgaria","BGR","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.74","","","13","","14.67","12.3","","13.89","","","","12.81","","13.72","","","12.56","13.85","12.63","12.53","12.1","12.72","12.2","","","",
