"Quality","Country","Code","Year","Gini","Quntile 1","Quntile 2","Quntile 3","Quntile 4","Inc","Pers","Gross","Cov1","Cov2","Source1","Source2","Q","Other"
"accept","Algeria","DZA",1988,38.73,0.068,0.1777,0.3271,0.5345,"E","P","N","Nat'l",,"Chen et al. 1995","SY","good",
"est","Argentina","ARG",1953,40,,,,,"I","H",,"Nat'l",,"Altimir 1986","CEPAL 1968","est",
"est","Argentina","ARG",1953,44.4,0.074,0.181,0.317,0.499,"I","P",,"Nat'l",,"Altimir 1986","CEPAL 1968","est",
"est","Argentina","ARG",1953,41.2,,,,,"I","P",,"Nat'l",,"Weisskoff 1970","ACND","est",
"est","Argentina","ARG",1959,44.7,,,,,"I","H",,"Nat'l",,"Altimir 1986","CEPAL 1968","est",
"est","Argentina","ARG",1959,47.6,0.068,0.162,0.285,0.452,"I","P",,"Nat'l",,"Altimir 1986","CEPAL 1968","est",
"est","Argentina","ARG",1959,46.3,,,,,"I","P",,"Nat'l",,"Weisskoff 1970",,"est",
"est","Argentina","ARG",1961,41.9,,,,,"I","H",,"Nat'l",,"Altimir 1986","CEPAL 1968","est",
"est","Argentina","ARG",1961,45.9,0.07,0.173,0.305,0.481,"I","P",,"Nat'l",,"Altimir 1986","CEPAL 1968","est",
"est","Argentina","ARG",1961,42.3,,,,,"I","H",,"Nat'l",,"Cromwell 1977","Weisskoff 1970","est",
"est","Argentina","ARG",1961,43.75,,,,,"I","P",,"Nat'l",,"Jain 1975","UN-ECLA, 69","est","ARL"
"est","Argentina","ARG",1961,43.4,,,,,"I","P",,"Nat'l",,"Weisskoff 1970","ACND","est",
"est","Argentina","ARG",1970,44,,,,,"I","H",,"Nat'l",,"van Ginneken and Park 1984",,"est",
"nn","Argentina","ARG",1961,40.7,,,,,"I","H",,"Urban",,"Altimir 1986",,"nn",
"nn","Argentina","ARG",1961,44.9,,,,,"I","P",,"Urban",,"Altimir 1986",,"nn",
"nn","Argentina","ARG",1961,50.82,,,,,"I","H",,"Rural","Agric.","Jain 1975","Cline 1972","nn",
"nn","Argentina","ARG",1961,53.11,,,,,"I","P",,"Rural","Agric.","Jain 1975",,"nn",
"nn","Argentina","ARG",1961,47.72,,,,,"I","P",,"Urban","IR","Jain 1975",,"wg",
"nn","Argentina","ARG",1961,42.04,,,,,"I","H",,"Urban",,"Jain 1975","Cline 1972","nn",
"nn","Argentina","ARG",1961,42.5,,,,,"I","H",,"Urban","Capital","Lecaillon et al. 1984",,"nn",
"nn","Argentina","ARG",1961,47.8,,,,,"I","p",,"Urban","EAP","Lecaillon et al. 1984",,"nn",
"nn","Argentina","ARG",1963,35.8,,,,,"I","H",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1963,37.3,,,,,"I","H",,"Urban",,"Altimir 1986",,"est",
"nn","Argentina","ARG",1963,38.49,,,,,"I","H",,"Urban",,"Jain 1975","Cline 1972","est",
"nn","Argentina","ARG",1965,35.3,,,,,"I","H",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1970,36.1,,,,,"I","H",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1970,39.4,,,,,"I","P",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1970,41.11,,,,,"I","P",,"Rural",,"Jain 1975",,"nn",
"nn","Argentina","ARG",1972,33.4,,,,,"I","H",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1972,35.3,,,,,"I","H",,"Nat'l",,"Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1974,36,,,,,"I","H",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1975,36.6,,,,,"I","P",,"Urban","Capital","Altimir 1986",,"nn",
"nn","Argentina","ARG",1975,36.1,,,,,"I","H",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1980,41,,,,,"I","P",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1980,41.6,,,,,"I","H",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1980,40.81,,,,,"I","P",,"Urban","Metro","Psacharopoulos et al. 1992","AEPH","nn",
"nn","Argentina","ARG",1981,42,,,,,"I","P",,"Urban","Capital","Altimir 1986","GDE","nn",
"nn","Argentina","ARG",1989,47.59,,,,,"I","P",,"Urban","Metro","Psacharopoulos et al. 1992","AEPH","nn",
"ps","Argentina","ARG",1961,42,0.07,0.174,0.306,0.485,"I","P","G","Nat'l",,"Paukert 1973",,"ps",
"wg","Argentina","ARG",1961,48.95,,,,,"I","P",,"Nat'l","IR","Jain 1975",,"wg",
"accept","Armenia","ARM",1989,39.39,0.017,0.135,0.325,0.594,"I","P","G","Nat'l",,"Atkinson and Micklewright 1992",,"good",
"accept","Australia","AUS",1969,32.02,0.0699,0.2016,0.3779,0.6088,"I","H","G","Nat'l",,"Australia, SYA","AHES","good",
"accept","Australia","AUS",1976,34.33,0.0584,0.1833,0.3608,0.6047,"I","H","G","Nat'l",,"Australia, SYA","AHES","good",
"accept","Australia","AUS",1978,38.1,0.0477,0.1485,0.336,0.5902,"I","H","G","Nat'l",,"Australia, SYA","ASCEF","good",
"accept","Australia","AUS",1979,39.33,0.046,0.146,0.315,0.566,"I","H","G","Nat'l",,"Australia, SYA","AHES","good",
"accept","Australia","AUS",1981,39.96,0.046,0.144,0.31,0.558,"I","H","G","Nat'l",,"Australia, SYA","AHES","good",
"accept","Australia","AUS",1985,37.58,0.051,0.156,0.328,0.578,"I","H","G","Nat'l",,"Australia, SYA","AHES","good",
"accept","Australia","AUS",1986,40.6,0.048,0.1449,0.3037,0.5475,"I","H","G","Nat'l",,"Australia, SYA","AHES","good",
"accept","Australia","AUS",1989,37.32,0.056,0.1631,0.3388,0.6012,"I","H","G","Nat'l",,"Australia, SYA","ABS","good",
"accept","Australia","AUS",1990,41.72,0.046,0.143,0.298,0.536,"I","H","G","Nat'l",,"Australia, SYA","ABS","good",
"cs","Australia","AUS",1981,35.1139,0.0526,0.1741,0.352,0.5959,"I","H","G","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1981,33.2605,0.0626,0.1857,0.3632,0.6071,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1981,31.0731,0.0646,0.198,0.3817,0.624,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1981,28.6834,0.0773,0.213,0.3957,0.6381,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1981,27,,,,,"I","He","N","Nat'l",,"Sunders 1993",,"cs",
"cs","Australia","AUS",1985,36.4984,0.0508,0.1666,0.3437,0.586,"I","H","G","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1985,34.9779,0.061,0.1784,0.3523,0.5918,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1985,31.4863,0.0642,0.1949,0.3798,0.6217,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1985,29.5287,0.0768,0.2093,0.3903,0.6301,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1989,35.9251,0.059,0.1738,0.3442,0.5837,"I","Pe","G","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1989,32.8495,0.0614,0.1886,0.3688,0.6106,"I","H","N","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1989,30.8696,0.0735,0.2027,0.3803,0.6199,"I","Pe","N","Nat'l",,"LIS Data base",,"cs",
"cs","Australia","AUS",1989,29,,,,,"I","He","N","Nat'l",,"Sunders 1993",,"cs",
"ps","Australia","AUS",1967,32,0.066,0.2,0.378,0.612,"I","P","G","Nat'l",,"Paukert 1973",,"ps","PT"
"ps","Australia","AUS",1968,31.85,,,,,"I","H",,"Nat'l",,"Jain 1975",,"ps","ARH"
"ps","Australia","AUS",1968,31.7,,,,,"I","H","N","Nat'l",,"Podder 1972","ASCEF","ps",
"ps","Australia","AUS",1968,33.5,,,,,"I","H","G","Nat'l",,"Podder 1972","ASCEF","ps",
"ps","Australia","AUS",1968,33.2,,,,,"I","P","N","Nat'l",,"Podder 1972","ASCEF","ps",
"ps","Australia","AUS",1976,34.51,,,,,"I","P","G","Nat'l",,"Kakwani 1986","AHES","ps",
"ps","Australia","AUS",1976,33.05,,,,,"I","P","N","Nat'l",,"Kakwani 1986","AHES","ps",
"ps","Australia","AUS",1981,31.56,,,,,"I","P",,"Nat'l",,"Bishop et al. 1991","AIHS","ps",
"ps","Australia","AUS",1981,34.39,,,,,"I","H",,"Nat'l",,"Bishop et al. 1991","AIHS","ps",
"ps","Australia","AUS",1981,31.2,,,,,"I","H",,"Nat'l",,"Buhmann  et al. 1988",,"ps",
