,year,country,contcod,mean,region,gdpppp,pop,expgdp,xpo,mpo,gdp,openness,dfigdp,er,inf,nint,rint,democr2,m2gdp,kopen,expk,impk,rgdpch,open_ppp,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10
0,1975,Angola,AGO,,1.0,3643.0,6.123,,,,,,,,,,,0.0,,0.6224647164344788,252000000000000.0,186000000000000.0,2085.93603515625,,,,,,,,,,,
1,1976,Angola,AGO,,1.0,3230.0,6.2762,,,,,,,,,,,0.0,,0.6447188854217529,218000000000000.0,194000000000000.0,1849.489013671875,,,,,,,,,,,
2,1977,Angola,AGO,,1.0,3220.0,6.44934,,,,,,,,,,,0.0,,0.6628450751304626,232000000000000.0,202000000000000.0,1845.878662109375,,,,,,,,,,,
3,1978,Angola,AGO,,1.0,3305.0,6.63663,,,,,,,,,,,0.0,,0.7377828359603882,269000000000000.0,243000000000000.0,1903.7933349609375,,,,,,,,,,,
4,1979,Angola,AGO,,1.0,3300.0,6.8285,,,,,,,,,,,0.0,,0.7647737264633179,286000000000000.0,256000000000000.0,1889.5137939453125,,,,,,,,,,,
5,1980,Angola,AGO,,1.0,3364.0,7.019,,,,,,,,,,,0.0,,0.7470005750656128,295000000000000.0,260000000000000.0,1926.5997314453125,,,,,,,,,,,
6,1981,Angola,AGO,,1.0,3067.0,7.21028,,,,,,,,,,,0.0,,0.9098994731903076,319000000000000.0,305000000000000.0,1734.84521484375,,,,,,,,,,,
7,1982,Angola,AGO,,1.0,2983.0,7.4036599999999995,,,,,,,,,,,0.0,,0.8723801970481873,277000000000000.0,311000000000000.0,1664.25634765625,,,,,,,,,,,
8,1983,Angola,AGO,,1.0,3029.0,7.59967,,,,,,,,,,,0.0,,0.8138391375541687,290000000000000.0,302000000000000.0,1744.6866455078125,,,,,,,,,,,
9,1984,Angola,AGO,,1.0,3132.0,7.7995,,,,,,,,,,,0.0,,0.8370701670646667,326000000000000.0,309000000000000.0,1778.7928466796875,,,,,,,,,,,
10,1985,Angola,AGO,,1.0,3155.0,8.005,,2430.0,2256.0,6804.0,0.6887125372886658,4.085831642150879,,,,,0.0,,0.7177541851997375,307000000000000.0,280000000000000.0,1860.281005859375,,,,,,,,,,,
11,1986,Angola,AGO,,1.0,3160.0,8.21872,,1462.0,1906.0,6356.0,0.5298930406570435,3.681560754776001,,,,,0.0,,0.7178053259849548,342000000000000.0,260000000000000.0,1861.5013427734375,,,,,,,,,,,
12,1987,Angola,AGO,,1.0,3318.0,8.44386,,2415.0,2020.0,7383.0,0.6007043123245239,1.6118109226226807,,,,,0.0,,0.6196248531341553,312000000000000.0,256000000000000.0,1976.987548828125,,,,,,,,,,,
13,1988,Angola,AGO,,1.0,3406.0,8.68431,,2620.0,3121.0,7975.0,0.7198746204376221,1.6426331996917725,,,,,0.0,,0.5919895172119141,332000000000000.0,255000000000000.0,2077.758544921875,,,,,,,,,,,
14,1989,Angola,AGO,,1.0,3322.0,8.94462,,3164.0,3292.0,9283.0,0.6954648494720459,2.1544759273529053,,,,,0.0,,0.5997098684310913,342000000000000.0,253000000000000.0,2018.7493896484375,,,,,,,,,,,
15,1990,Angola,AGO,,1.0,3211.0,9.23,,3992.0,4161.0,10260.0,0.7946393489837646,-3.263157844543457,,,,,0.0,,0.7068456411361694,392000000000000.0,304000000000000.0,1946.4649658203125,,,,,,,,,,,
16,1991,Angola,AGO,,1.0,3113.0,9.58898,,3621.0,4243.0,12194.0,0.6449073553085327,5.449401378631592,,,,,0.0,,0.563076913356781,307000000000000.0,251000000000000.0,1881.7066650390625,,,,,,,,,,,
17,1992,Angola,AGO,,1.0,2848.0,9.93861,,3976.0,4828.0,5779.0,1.5234469175338745,4.983561038970947,,,,,0.0,,1.263974666595459,663000000000000.0,623000000000000.0,1861.4364013671875,,,,,,,,,,,
18,1993,Angola,AGO,,1.0,2099.0,10.282950000000001,,3006.0,3852.0,5286.0,1.2973893880844116,5.715096473693848,,,,,0.0,,1.1870452165603638,396000000000000.0,370000000000000.0,1143.0843505859375,,,,,,,,,,,
19,1994,Angola,AGO,,1.0,2061.0,10.626059999999999,,3167.0,3765.0,4060.0,1.7073891162872314,4.194581508636475,,,,,0.0,,1.6528048515319824,581000000000000.0,517000000000000.0,1138.8397216796875,,,,,,,,,,,
20,1995,Angola,AGO,,1.0,2201.0,10.972,,3836.0,4302.0,5040.0,1.6146825551986694,9.373015403747559,,,,,,,1.4803037643432617,523000000000000.0,594000000000000.0,1252.6221923828125,,,,,,,,,,,
21,1996,Angola,AGO,,1.0,2345.0,11.31806,,5363.0,5980.0,7526.0,1.507175087928772,2.3996810913085938,,,,,,,1.3486998081207275,560000000000000.0,581000000000000.0,1362.3240966796875,,,,,,,,,,,
22,1997,Angola,AGO,,1.0,2420.0,11.66153,,5146.0,6236.0,7675.0,1.4829967021942139,5.364169597625732,,,,,,,,,,,,,,,,,,,,,
