"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.16","","","","","","","","21.94","","","","","","","",
"Albania","ALB","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.29","","","","","","22.1","","","22.5","","","22.23","","","","22.81","","","",
"Arab World","ARB","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","21.87","21.5","","","","20.41","21.48","22.01","21.6","20.76","21.19","21.35","21.02","21.27","21.32","21.06","20.35","20.94","21.7","21.73","21.99","22.03","22.36","22.62","22.42","22.43","22.88","23.03","","",
"Armenia","ARM","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.63","","","21.24","","20.86","20.82","20.79","20.19","20.22","21.19","22.11","21.98","22.05","21.38","21.56","22.04","21.99","","",
"American Samoa","ASM","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","23.37","","","","23.05","","","","23.17","","","","","","23.1","","","","","","23.24","","23.21","","","","","22.52","","22.79","","","","","",
"Austria","AUT","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.47","22.78","22.58","22.86","22.59","22.61","22.89","23.03","23.01","","","",
"Azerbaijan","AZE","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.51","","","","","","21.23","21.75","22.16","21.58","21.51","","","","","","","","","","",
"Burundi","BDI","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.05","","","","","","21.48","","","","","","","","20.97","","","","","","","","","",
"Belgium","BEL","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.89","22.28","22.77","22.39","22.82","22.76","22.56","22.79","22.8","","","",
"Benin","BEN","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.92","","","","","","","","20.21","","","","",
"Burkina Faso","BFA","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.77","","","","17.45","","","","","20.9","","","","","","20.9","","","","","","",
"Bangladesh","BGD","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","22.25","","21.66","","","21.63","","","22.04","","","","20.63","","","","","21.01","","","","","21.05","","","","","21.24","","","","","",
"Bulgaria","BGR","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.52","","","22.25","","22.22","21.28","","21.87","","","","22.83","","22.19","","","22.95","23","22.56","22.78","22.7","22.68","22.35","","","",
"Bahrain","BHR","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.33","","","22.44","","","22.99","","","","","","","","",
"Belarus","BLR","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.95","","","","","22.21","","23.06","","","22.46","22.37","22.71","22.54","22.58","22.82","22.8","23.02","22.92","22.57","22.99","22.42","22.79","22.83","22.5","","","",
"Belize","BLZ","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.18","15.24","19.66","17.59","16.62","19.13","19.4","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.96","","","19.68","","","","18.84","","20.82","18.53","19.15","18.73","","18.77","19.33","19.8","19.6","20.7","21.36","","22.16","22.7","21.67","","",
"Brazil","BRA","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","18.4","18.33","18.1","18.11","19.65","18.18","18.12","17.5","16.83","17.88","","20.76","17.51","","17.86","18.17","18.15","17.9","17.99","","17.97","18.03","18.36","18.55","18.48","18.59","18.97","19.09","19.22","","19.36","19.34","19.31","","",
"Barbados","BRB","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.01","","","","22.15","","","","","21.42","","","",
"Botswana","BWA","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","19.21","","","","","","","","16.43","","","","","","","","","15.85","","","","","","","16.89","","","","","","",
"Central African Republic","CAF","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.53","","","","","","","","","","","21.77","","","","","17.71","","","","","","","",
"Canada","CAN","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","23.18","","","","","","23.06","","","","23.1","","","23.05","","","23.09","22.87","","22.81","","","","22.91","","","22.63","","","22.75","","","","","",
"Central Europe and the Baltics","CEB","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.49","22.68","22.73","22.66","22.74","22.54","","","",
"Channel Islands","CHI","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.94","","","17.3","","17.86","","17.73","","18.22","","18.02","","17.79","","","17.74","","","18.65","","","18.33","","18.42","","18.33","","",
"China","CHN","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","22.89","","","23.19","22.45","","23.38","","","22.56","","","22.3","","","22.3","","","22.2","","","22.19","","","22.23","","","22.7","","23.2","","","","","",
"Cote d'Ivoire","CIV","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","20.65","21.63","20.97","22.48","","","","22.33","22.34","","21.14","","","21.43","","","","20.6","","","","","","21.72","","","","","","","",
"Cameroon","CMR","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.63","","","","","20.61","","","","","","21.54","","","","","","","","",
"Congo, Rep.","COG","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.37","","","","","","22.55","","","","",
"Colombia","COL","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","19.45","","20.44","19.41","","","","18.46","","","18.17","18.13","18.12","18.04","18.69","18.05","18.37","17.97","18.03","18.88","18.75","18.72","19.15","19.66","19.55","","",
"Comoros","COM","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.56","","","","","","","","","","","",
"Cabo Verde","CPV","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.56","","","","","","19.97","","","","","","","","",
"Costa Rica","CRI","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","22.79","","","","","24.91","","","22.39","22.49","22.09","22","22.09","21.4","22","21.89","21.76","21.65","21.13","21.49","20.49","20.24","21.13","21.01","21.06","20.28","19.75","20.22","19.87","20.32","20.68","20.61","20.71","","",
"Caribbean small states","CSS","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","21.96","21.61","21.9","21.64","21.89","21.76","21.65","21.36","","","",
"Czech Republic","CZE","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.43","","","","","21.41","","","21.68","","","","","","","","21.94","21.74","21.9","21.78","21.57","21.88","21.97","21.98","21.92","","","",
"Germany","DEU","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.48","22.28","22.49","22.29","22.62","22.65","","","","",
"Djibouti","DJI","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.78","","","","","","","","","","21.19","","","",
"Dominica","DMA","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.82","22.63","22.5","22.24","23.14","22.9","22.66","22.63","22.26","","","",
"Dominican Republic","DOM","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","21.37","","","19.91","","","18.88","","","","20.74","20.58","","","19.91","19.81","20.47","19.25","19.18","19.87","19.37","19.93","19.96","19.86","20.8","20.52","20.68","19.96","","",
"Algeria","DZA","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.63","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (developing only)","EAP","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (developing only)","ECA","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (all income levels)","ECS","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Income share held by fourth 20%","SI.DST.04TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9","","","","","","","19.07","19.5","","","20.66","17.68","18.08","","","18.88","19.35","19.34","19.09","18.79","20.08","20.27","20.15","21.4","21.23","20.62","","",
