code,year,cap_inc_share
USA,1970,21.0
USA,1971,21.0
USA,1972,22.0
USA,1973,21.0
USA,1974,20.0
USA,1975,21.0
USA,1976,21.0
USA,1977,22.0
USA,1978,22.0
USA,1979,21.0
USA,1980,20.0
USA,1981,22.0
USA,1982,21.0
USA,1983,23.0
USA,1984,24.0
USA,1985,24.0
USA,1986,22.0
USA,1987,23.0
USA,1988,23.0
USA,1989,23.0
USA,1990,23.0
USA,1991,23.0
USA,1992,22.0
USA,1993,23.0
USA,1994,24.0
USA,1995,25.0
USA,1996,26.0
USA,1997,26.0
USA,1998,25.0
USA,1999,25.0
USA,2000,24.0
USA,2001,23.0
USA,2002,23.0
USA,2003,23.0
USA,2004,25.0
USA,2005,26.0
USA,2006,27.0
USA,2007,26.0
USA,2008,24.0
USA,2009,26.0
USA,2010,29.0
JPN,1970,36.0
JPN,1971,32.0
JPN,1972,32.0
JPN,1973,30.0
JPN,1974,26.0
JPN,1975,23.0
JPN,1976,24.0
JPN,1977,24.0
JPN,1978,26.0
JPN,1979,26.0
JPN,1980,27.0
JPN,1981,26.0
JPN,1982,26.0
JPN,1983,26.0
JPN,1984,27.0
JPN,1985,28.0
JPN,1986,28.0
JPN,1987,29.0
JPN,1988,30.0
JPN,1989,30.0
JPN,1990,30.0
JPN,1991,29.0
JPN,1992,27.0
JPN,1993,26.0
JPN,1994,24.0
JPN,1995,24.0
JPN,1996,25.0
JPN,1997,25.0
JPN,1998,23.0
JPN,1999,24.0
JPN,2000,25.0
JPN,2001,24.0
JPN,2002,25.0
JPN,2003,26.0
JPN,2004,28.0
JPN,2005,29.0
JPN,2006,29.0
JPN,2007,30.0
JPN,2008,28.0
JPN,2009,26.0
JPN,2010,27.0
DEU,1970,23.0
DEU,1971,22.0
DEU,1972,21.0
DEU,1973,20.0
DEU,1974,19.0
DEU,1975,19.0
DEU,1976,20.0
DEU,1977,20.0
DEU,1978,20.0
DEU,1979,20.0
DEU,1980,19.0
DEU,1981,18.0
DEU,1982,19.0
DEU,1983,20.0
DEU,1984,22.0
DEU,1985,22.0
DEU,1986,23.0
DEU,1987,21.0
DEU,1988,23.0
DEU,1989,25.0
DEU,1990,25.0
DEU,1991,23.0
DEU,1992,22.0
DEU,1993,21.0
DEU,1994,23.0
DEU,1995,23.0
DEU,1996,24.0
DEU,1997,25.0
DEU,1998,26.0
DEU,1999,25.0
DEU,2000,24.0
DEU,2001,24.0
DEU,2002,25.0
DEU,2003,26.0
