code,year,gini,PPPI,sch_male,sch_female,log(GNI_PC),growth
AUS,1975.0,39.33,98.71,4.33,4.22,9.28079883562,0.0210348209989
AUS,1980.0,37.58,85.6,4.52,4.39,9.38597294062,0.0318820150337
AUS,1985.0,41.72,89.59,4.66,4.52,9.54538301579,0.0587132031222
BEL,1975.0,28.25,122.58,2.47,1.95,9.55037767476,-0.0910896308594
BEL,1980.0,26.2221,62.23,2.92,2.44,9.09492952046,0.155619764917
BGD,1970.0,36.0,97.08,0.52,0.06,5.34710753072,0.00930400312698
BGD,1975.0,35.17,60.91,0.85,0.15,5.39362754635,0.0
BGD,1980.0,36.0,53.0,1.0,0.31,5.39362754635,0.0685889502254
BGD,1985.0,35.45,62.08,1.13,0.48,5.73657229748,0.00634973966292
BGD,1990.0,34.87,64.31,1.23,0.68,5.76832099579,0.0495672327809
BGR,1980.0,23.42,31.86,3.12,3.15,7.58578882173,0.0274662541069
BGR,1985.0,24.53,27.91,2.92,3.19,7.72312009227,-0.120050686733
BGR,1990.0,34.42,15.42,2.87,3.3,7.1228666586,0.0367329480681
BRA,1965.0,57.61,54.32,0.73,0.59,6.0161571597,0.209720373619
BRA,1970.0,61.94,63.78,0.67,0.56,7.06475902779,0.0456517303962
BRA,1975.0,57.78,66.2,0.79,0.71,7.29301767977,0.0181943556411
BRA,1980.0,61.76,47.33,0.98,0.95,7.38398945798,0.104142891179
BRA,1985.0,59.6,90.0,1.2,1.26,7.90470391387,0.0209982887738
CAN,1960.0,31.61,103.34,2.54,2.62,7.81197342962,0.0938994856546
CAN,1965.0,32.3,107.06,2.8,2.79,8.2814708579,0.048738100634
CAN,1970.0,31.62,116.46,3.28,3.1,8.52516136107,0.16516202813
CAN,1975.0,31.0,93.33,3.68,3.45,9.35097150172,0.0357099219543
CAN,1980.0,32.81,74.53,3.81,3.57,9.52952111149,0.0790477152649
CAN,1985.0,27.56,78.84,4.03,3.93,9.92475968781,0.00223901097239
CAN,1990.0,27.65,68.43,4.24,4.14,9.93595474267,0.00563148633579
CHL,1965.0,45.64,59.44,1.53,1.35,6.75693238925,0.0528303150083
CHL,1970.0,46.0,36.45,1.58,1.43,7.02108396429,0.0881112855839
CHL,1975.0,53.21,104.13,1.76,1.63,7.46164039221,-0.0420590817673
CHL,1985.0,57.88,39.52,2.68,2.63,7.72312009227,0.0805021792421
CHL,1990.0,56.49,41.2,2.95,2.84,8.12563098848,0.0783124405878
CHN,1975.0,32.0,47.69,1.17,0.55,5.34710753072,0.00930400312698
CHN,1980.0,31.4,37.72,1.53,0.85,5.39362754635,0.0810930216216
CHN,1985.0,34.6,33.67,1.89,1.2,5.79909265446,0.0707280080487
CHN,1990.0,37.8,32.22,2.15,1.48,6.1527326947,0.118500730956
CIV,1980.0,47.81,162.85,0.82,0.22,6.46146817635,0.0343700513853
CIV,1985.0,43.49,124.18,0.97,0.29,6.63331843328,-0.0252081441791
COL,1965.0,52.02,55.45,0.75,0.6,5.73657229748,0.125291161212
COL,1970.0,46.0,50.42,1.0,0.81,6.36302810354,0.148715606837
COL,1975.0,54.5,64.5,1.19,0.99,7.10660613773,-0.0083694219871
COL,1985.0,51.2,42.72,1.76,1.65,7.10660613773,0.0710068508963
COL,1990.0,51.32,40.17,2.11,2.03,7.46164039221,0.054058065948
CRI,1970.0,44.4,79.76,0.73,0.69,6.8772960715,0.139657716012
CRI,1975.0,45.0,89.58,0.92,0.86,7.57558465156,-0.0446287102628
CRI,1980.0,47.0,75.81,1.2,1.14,7.35244110024,0.0793762728834
CRI,1985.0,46.07,63.64,1.47,1.43,7.74932246466,0.0520745786165
DEU,1970.0,30.6163,98.88,1.04,0.65,8.81433042264,0.132135849496
DEU,1975.0,32.0648,120.43,1.51,0.88,9.47500967012,-0.0559565871906
DEU,1980.0,32.195,67.51,2.03,1.12,9.19522673417,0.154622358138
DNK,1975.0,31.0,122.46,3.44,2.47,9.63167882924,-0.0488058884588
