"Country","Year","Infant mortality per 1 000 live births"
"Albania","2008","17.6"
"Armenia","2005","25.6"
"Armenia","2000","36.1"
"Azerbaijan","2006","43.0"
"Bangladesh","2007","51.5"
"Bangladesh","2004","65.2"
"Bangladesh","1999","66.3"
"Bangladesh","1996","82.2"
"Bangladesh","1993","87.5"
"Benin","2006","67.0"
"Benin","2001","89.1"
"Benin","1996","93.9"
"Bolivia (Plurinational State of)","2008","49.8"
"Bolivia (Plurinational State of)","2003","53.6"
"Bolivia (Plurinational State of)","1998","67.3"
"Bolivia (Plurinational State of)","1994","75.3"
"Brazil","1996","39.3"
"Burkina Faso","2003","81.4"
"Burkina Faso","1998","105.3"
"Burkina Faso","1993","93.7"
"Cote d'Ivoire","1998","112.2"
"Cote d'Ivoire","1994","88.5"
"Cambodia","2010","44.9"
"Cambodia","2005","65.6"
"Cambodia","2000","95.0"
"Cameroon","2004","74.1"
"Cameroon","1998","77.0"
"Cameroon","1991","64.3"
"Central African Republic","1994","96.7"
"Chad","2004","101.7"
"Chad","1996","102.5"
"Colombia","2010","15.8"
"Colombia","2005","18.9"
"Colombia","2000","21.4"
"Colombia","1995","28.3"
"Colombia","1990","16.5"
"Comoros","1996","77.3"
"Congo","2005","75.5"
"Democratic Republic of the Congo","2007","91.8"
"Dominican Republic","2007","32.1"
"Dominican Republic","2002","31.3"
"Dominican Republic","1999","22.2"
"Dominican Republic","1996","46.6"
"Egypt","2008","24.5"
"Egypt","2005","33.2"
"Egypt","2003","38.0"
"Egypt","2000","43.5"
"Egypt","1995","62.6"
"Ethiopia","2011","59.2"
"Ethiopia","2005","77.0"
"Ethiopia","2000","97.0"
"Gabon","2000","57.3"
"Ghana","2008","50.3"
"Ghana","2003","64.3"
"Ghana","1998","56.7"
"Ghana","1993","66.4"
"Guatemala","1998","45.1"
"Guatemala","1995","51.1"
"Guinea","2005","91.4"
"Guinea","1999","98.0"
"Guyana","2009","37.6"
"Haiti","2005","57.3"
"Haiti","2000","80.3"
"Haiti","1994","73.9"
"Honduras","2005","23.4"
"India","2005","57.0"
"India","1998","67.5"
"India","1992","78.5"
"Indonesia","2007","34.2"
"Indonesia","2002","34.7"
"Indonesia","1997","45.7"
"Jordan","2009","23.1"
"Jordan","2007","19.3"
"Jordan","2002","22.1"
"Jordan","1997","28.5"
"Jordan","1990","33.8"
"Kazakhstan","1999","61.9"
"Kazakhstan","1995","39.7"
"Kenya","2008","51.7"
"Kenya","2003","77.2"
"Kenya","1998","73.7"
"Kenya","1993","61.7"
"Kyrgyzstan","1997","61.3"
"Lesotho","2009","91.5"
"Lesotho","2004","91.0"
"Liberia","2007","71.2"
"Madagascar","2008","47.9"
"Madagascar","2003","57.8"
"Madagascar","1997","96.3"
"Malawi","2010","65.8"
"Malawi","2004","76.1"
"Malawi","2000","103.7"
"Malawi","1992","134.6"
"Maldives","2009","14.2"
"Mali","2006","95.8"
"Mali","2001","113.4"
"Mali","1995","122.5"
"Morocco","2003","40.4"
"Morocco","1992","57.3"
"Mozambique","2003","100.7"
"Mozambique","1997","134.6"
"Namibia","2006","46.1"
"Namibia","2000","38.1"
"Namibia","1992","56.6"
"Nepal","2011","45.9"
"Nepal","2006","47.9"
"Nepal","2001","64.4"
"Nepal","1996","78.5"
"Nicaragua","2001","31.3"
"Nicaragua","1998","39.5"
"Niger","2006","81.4"
"Niger","1998","123.1"
"Nigeria","2008","75.3"
"Nigeria","2003","100.0"
"Nigeria","1990","87.4"
"Pakistan","2006","77.7"
"Pakistan","1990","86.0"
"Paraguay","1990","33.5"
"Peru","2004","20.1"
"Peru","2000","33.3"
"Peru","1996","42.8"
"Peru","1991","54.5"
"Philippines","2008","24.9"
"Philippines","2003","28.7"
"Philippines","1998","35.1"
"Philippines","1993","33.6"
"Republic of Moldova","2005","12.8"
"Rwanda","2010","49.8"
"Rwanda","2007","62.3"
"Rwanda","2005","86.1"
"Rwanda","2000","107.4"
"Rwanda","1992","85.0"
"Sao Tome and Principe","2008","38.2"
"Senegal","2005","61.1"
"Senegal","1997","67.7"
"Sierra Leone","2008","88.9"
"South Africa","1998","45.4"
"Swaziland","2006","85.5"
"Timor-Leste","2009","44.6"
"Togo","1998","79.7"
"Turkey","2003","28.8"
"Turkey","1998","42.7"
"Turkey","1993","52.6"
"Uganda","2006","71.1"
"Uganda","2000","88.4"
"Uganda","1995","81.3"
"Ukraine","2007","13.9"
"United Republic of Tanzania","2010","50.7"
"United Republic of Tanzania","2004","68.0"
"United Republic of Tanzania","1999","99.1"
"United Republic of Tanzania","1996","87.5"
"Uzbekistan","1996","49.1"
"Viet Nam","2002","18.2"
"Viet Nam","1997","28.5"
"Zambia","2007","70.4"
"Zambia","2001","95.0"
"Zambia","1996","108.9"
"Zimbabwe","2005","59.9"
"Zimbabwe","1999","65.0"
"Zimbabwe","1994","52.8"
